Category,Title,Authors,Categories,PriceNIS,PriceUSD,Year,Synopsis,SynopsisLength,NumberOfReviews,StarRating,Language,Format,Dimensions,DimensionsUnit,ISBN13,book_url,Weight,WeightUnit,ISBN
Computing And Information Technology,Bebesaurias: Guía definitiva para arruinar tu vida (in Spanish),Josefina González (@beibijosephine),Online security and conduct guidelines,92.24,30.65,2026.0,"Humor, actividades y delirios para enfrentar el absurdo de la vida actual El manual interactivo y decisivo que necesitas para hacerle frente al caos de la vida actual. Un instructivo sofisticado y veraz para salvarte de tus propios pensamientos. «Resucité de la risa» JESUCRISTO «La segunda Biblia» SIMONE DE BEAUVOIR «Sócrates pronunció en la antigüedad aquella famosa frase: solo sé que nada sé, profetizando hace más de dos mil años el nacimiento de esta delicada obra que hoy tenemos en nuestras manos. Si bien esta entrega fundamental de la cultura occidental contemporánea pretende llevarnos por el camino de la ignorancia —en palabras de la misma autora—, termina por imponerse como poseedora de la Verdad absoluta e incuestionable.» WILLIAM SHAKESPEARE",760.0,1,5.0,Spanish,Paperback,"15,21",cm,9789564089232,https://www.bookdelivery.com/il-en/book-bebesaurias-guia-definitiva-para-arruinar-tu-vida/9789564089232/p/66855645,,,
Computing And Information Technology,Five Nights at Freddy's: Ticket to Fun Ephemera Kit,"Madsen, Sarah","Art history,Cinema: styles and genres,Film, television or radio genres: science fiction, fantasy and horror,Popular culture,Computer games/online games: strategy guides",89.51,29.74,2025.0,"Keep the lights on and dive into the terrifying world of Freddy Fazbear with an array of fun and frightening collectibles based on your favorite haunted animatronics. You’ll feel like a night guard on their first shift with this jam-packed, terrifying ephemera kit! Featuring spooky art, fun collectibles, and the iconic characters and locales of Five Nights at Freddy’s, this experiential kit takes you through the iconic Freddy Fazbear’s Pizza. With in-world objects, including tickets, stickers, a badge, a flashlight, and more, you’ll be in for a chilling night like no other. Five Nights at Freddy’s is filled with intriguing secrets and homages to fan-favorite characters, including Freddy, Foxy, Bonnie, Chica, and more. Perfect for any Five Nights at Freddy’s fan, this one-of-a-kind gaming companion will bring fantasy and fun to life! FAVORITE SCARES: Discover toys and illustrations featuring beloved characters like Bonnie, Chica, Foxy, Ballora, the Puppet, and, of course, Freddy Fazbear himself! (And maybe a few you were hoping you’d never see again . . .) GIFT FOR ALL AGES: Scary and fun merchandise fit for all Five Nights at Freddy’s fans—veterans and newcomers alike!",1187.0,0,None,English,Paperback,,,9798886632637,https://www.bookdelivery.com/il-en/book-five-nights-at-freddy-s-ticket-to-fun-ephemera-kit/9798886632637/p/56298739,,,
Computing And Information Technology,An Elegant Puzzle: Systems of Engineering Management,Larson Will,"Project management,Influence of science and technology on society,Technology: general issues,Computer programming/software development",100.9,33.53,,"A human-centric guide to solving complex problems in engineering management, from sizing teams to handling technical debt. There's a saying that people don't leave companies, they leave managers. Management is a key part of any organization, yet the discipline is often self-taught and unstructured. Getting to the good solutions for complex management challenges can make the difference between fulfillment and frustration for teams--and, ultimately, between the success and failure of companies. Will Larson's An Elegant Puzzle focuses on the particular challenges of engineering management--from sizing teams to handling technical debt to performing succession planning--and provides a path to the good solutions. Drawing from his experience at Digg, Uber, and Stripe, Larson has developed a thoughtful approach to engineering management for leaders of all levels at companies of all sizes. An Elegant Puzzle balances structured principles and human-centric thinking to help any leader create more effective and rewarding organizations for engineers to thrive in.",1066.0,0,None,English,Hardcover,"23.6,15.7,2.8",cm,9781732265189,https://www.bookdelivery.com/il-en/book-an-elegant-puzzle-systems-of-engineering-management/9781732265189/p/54390696,0.72,,
Computing And Information Technology,Co-Intelligence: Living and Working with AI,Ethan Mollick,"Information technology industries,Automatic control engineering,Artificial intelligence",82.77,27.5,2024.0,"From Wharton professor and author of the popular One Useful Thing Substack newsletter Ethan Mollick comes the definitive playbook for working, learning, and living in the new age of AI Something new entered our world in November 2022 -- the first general purpose AI that could pass for a human and do the kinds of creative, innovative work that only humans could do previously. Wharton professor Ethan Mollick immediately understood what ChatGPT meant: after millions of years on our own, humans had developed a kind of co-intelligence that could augment, or even replace, human thinking. Through his writing, speaking, and teaching, Mollick has become one of the most prominent and provocative explainers of AI, focusing on the practical aspects of how these new tools for thought can transform our world. In Co-Intelligence, Mollick urges us to engage with AI as co-worker, co-teacher, and coach. He assesses its profound impact on business and education, using dozens of real-time examples of AI in action. Co-Intelligence shows what it means to think and work together with smart machines, and why it's imperative that we master that skill. Mollick challenges us to utilize AI's enormous power without losing our identity, to learn from it without being misled, and to harness its gifts to create a better human future. Wide ranging, hugely thought-provoking, optimistic, and lucid, Co-Intelligence reveals the promise and power of this new era.",1449.0,0,None,English,Hardcover,"21.1,14.5,2.8",cm,9780593716717,https://www.bookdelivery.com/il-en/book-co-intelligence-living-and-working-with-ai/9780593716717/p/56156475,0.36,kg,
Computing And Information Technology,Wipeout Futurism: The Visual Archives,"Harris, Duncan,Anderson, Ian","Graphic design,The art of computer/console games,Computer games/online games: strategy guides",159.12,52.87,,"Working its way through the fascinating creation story and cultural footprint of the WipEout game series, WipEout Futurism offers unprecedented access to the game's visual archives and reveals the creative processes behind the teams, tracks, vehicles, and iconography that define the series. Within these pages you will find original concept art, promotional materials, in-game photography, the monumental graphic design work of The Designers Republic, and much more. WipEout crashed onto the scene in 1995, shifting games into the cultural fast lane with its unique 3D visual designs. It propelled a wondrous hit of antigravity, hyper-speed racing into the heart of the freshly released PlayStation console and, over time, the series grew into a cult phenomenon among graphic designers and gamers alike. With its clubland branding, devised by cutting-edge Sheffield agency The Designers Republic, and its on-the-pulse collaborations with electronic artists, from the Chemical Brothers to Kraftwerk, WipEout was not only a racing game, it was a vehicle for art. WipEout Futurism chronicles the iconic game's vision, struggles, and achievements--from first conception to future plans--in a distinctive union of trailblazing artwork and graphic design. The book includes exclusive interviews with electronic duo Orbital's Paul Hartnoll, sound designer Loic Couthier, writer Damon Fairclough, game director Stuart Tilley, and more.",1428.0,0,None,English,Hardcover,,,9780500021767,https://www.bookdelivery.com/il-en/book-wipeout-futurism-the-visual-archives/9780500021767/p/56468055,,,
Computing And Information Technology,"The Pragmatic Programmer: Your Journey to Mastery, 20Th Anniversary Edition",Andrew Hunt,"Programming languages and extension/scripting: general,Software testing and verification",152.49,50.67,2019.0,"'One of the most significant books in my life.' --Obie Fernandez, Author, The Rails Way 'Twenty years ago, the first edition of The Pragmatic Programmer completely changed the trajectory of my career. This new edition could do the same for yours.' --Mike Cohn, Author of Succeeding with Agile , Agile Estimating and Planning , and User Stories Applied '. . . filled with practical advice, both technical and professional, that will serve you and your projects well for years to come.' --Andrea Goulet, CEO, Corgibytes, Founder, LegacyCode.Rocks '. . . lightning does strike twice, and this book is proof.' --VM (Vicky) Brasseur, Director of Open Source Strategy, Juniper Networks The Pragmatic Programmer is one of those rare tech books you'll read, re-read, and read again over the years. Whether you're new to the field or an experienced practitioner, you'll come away with fresh insights each and every time. Dave Thomas and Andy Hunt wrote the first edition of this influential book in 1999 to help their clients create better software and rediscover the joy of coding. These lessons have helped a generation of programmers examine the very essence of software development, independent of any particular language, framework, or methodology, and the Pragmatic philosophy has spawned hundreds of books, screencasts, and audio books, as well as thousands of careers and success stories. Now, twenty years later, this new edition re-examines what it means to be a modern programmer. Topics range from personal responsibility and career development to architectural techniques for keeping your code flexible and easy to adapt and reuse. Read this book, and you'll learn how to: Fight software rot Learn continuously Avoid the trap of duplicating knowledge Write flexible, dynamic, and adaptable code Harness the power of basic tools Avoid programming by coincidence Learn real requirements Solve the underlying problems of concurrent code Guard against security vulnerabilities Build teams of Pragmatic Programmers Take responsibility for your work and career Test ruthlessly and effectively, including property-based testing Implement the Pragmatic Starter Kit Delight your users Written as a series of self-contained sections and filled with classic and fresh anecdotes, thoughtful examples, and interesting analogies, The Pragmatic Programmer illustrates the best approaches and major pitfalls of many different aspects of software development. Whether you're a new coder, an experienced programmer, or a manager responsible for software projects, use these lessons daily, and you'll quickly see improvements in personal productivity, accuracy, and job satisfaction. You'll learn skills and develop habits and attitudes that form the foundation for long-term success in your career. You'll become a Pragmatic Programmer. Register your book for convenient access to downloads, updates, and/or corrections as they become available. See inside book for details.",2960.0,3,5.0,English,Hardcover,"23.4,19.1,2.3",cm,9780135957059,https://www.bookdelivery.com/il-en/book-the-pragmatic-programmer-your-journey-to-mastery-20th-anniversary-edition/9780135957059/p/52121486,0.75,kg,
Computing And Information Technology,Surveillance and Surveillance Detection: A cia Insider'S Guide,"Kiriakou, John","Online security and conduct guidelines,Privacy and data protection,Self-help, personal development and practical advice",67.55,22.45,,"Have you ever thought you were being followed or watched? Have you ever needed to follow or observe someone and not be seen? In the world of espionage, surveillance and surveillance detection are a way of life. It is the job of every CIA operations officer to make sure he or she is not under surveillance--that is, being followed to the commission of an 'operational act.' It is also the job of every CIA operations officer to surveil his own targets, whether they are terrorists or terrorist suspects, foreign intelligence officers, hostile actors, or even sometimes his own agents for vetting purposes. In everyday life, many people from all walks of life need to know how to perform similar operations. Whether avoiding a stalker, checking up on an unfaithful partner, or just securing one's own privacy, a working knowledge of modern surveillance and surveillance detection techniques is a critical skill to possess. And there is nobody better to teach that skill than someone trained by the CIA. From former CIA counterterrorism officer John C. Kiriakou, Surveillance and Surveillance Detection: A CIA Insider's Guide takes you through the CIA's surveillance and surveillance detection program. It will teach you to apply CIA surveillance techniques to your own everyday life. You'll learn how to stay safe, to ensure your privacy, and to keep the honest people honest--the CIA way.",1388.0,0,None,English,Paperback,"22.6,15.0,1.4",cm,9781510756106,https://www.bookdelivery.com/il-en/book-surveillance-and-surveillance-detection-a-cia-insider-s-guide/9781510756106/p/54287874,0.2,kg,
Computing And Information Technology,Halo Encyclopedia,Microsoft,"Digital, new media and video art,The art of computer/console games,Computer games/online games: strategy guides",127.13,42.24,2022.0,"In the 26th century, humanity relentlessly continues their fight for survival, an enduring conflict set against the backdrop of the enigmatic and ancient ringworld known as Halo. The universe of Halo is remarkably vast in scale and astonishingly elaborate in detail, telling rich stories filled with bold characters, breathtaking worlds, and thrilling conflicts. In celebration of the 20th anniversary of Halo, Dark Horse and 343 Industries have teamed up to deliver the most definitive guide to the universe thus far. Spanning over a hundred millennia and encompassing over a hundred thousand light years, the Halo Encyclopedia captures two decades of storytelling with stunning, never-before-seen art and the most detailed exploration of the universe's many characters, worlds, and technologies to have ever been created",822.0,3,5.0,English,Hardcover,"31.1,23.5,4.4",cm,9781506728445,https://www.bookdelivery.com/il-en/book-halo-encyclopedia/9781506728445/p/54110074,2.91,kg,
Computing And Information Technology,"Art of Computer Programming, The, Volumes 1-4B, Boxed set (Art of Computer Programming, 1-4)",Donald Knuth,Algorithms and data structures,936.31,311.07,,"Now Includes the Long-Anticipated Volume 4B! Countless readers have spoken about the profound personal influence of Knuth's work. Scientists have marveled at the beauty and elegance of his analysis, while ordinary programmers have successfully applied his 'cookbook' solutions to their day-to-day problems. All have admired Knuth for the breadth, clarity, accuracy, and good humor found in his books. Primarily written as a reference, some people have nevertheless found it possible and interesting to read each volume from beginning to end. A programmer in China even compared the experience to reading a poem. Whatever your background, if you need to do any serious computer programming, you will find your own good reason to make each volume in this series a readily accessible part of your scholarly or professional library. These five books comprise what easily could be the most important set of information on any serious programmer's bookshelf. This set now includes Volume 4B, the sequel to Volume 4A, which extends Knuth's exploration of combinatorial algorithms. These algorithms are of keen interest to software designers because '. . . a single good idea can save years or even centuries of computer time.' 'Donald Knuth may very well be a great master of the analysis of algorithms, but more than that, he is an incredible and tireless storyteller who always strikes the perfect balance between theory, practice, and fun. [The Art of Computer Programming, Volume 4B, Combinatorial Algorithms, Part 2, ] dives deep into the fascinating exploration of search spaces (which is quite like looking for a needle in a haystack or, even harder, to prove the absence of a needle in a haystack), where actions performed while moving forward must be meticulously undone when backtracking. It introduces us to the beauty of dancing links for removing and restoring the cells of a matrix in a dance which is both simple to implement and very efficient. And it studies the iconic and versatile satisfiability problem and carefully analyses various ingredients of SAT solvers.' --Christine Solnon, Department of Computer Science, INSA Lyon This box set includes the following volumes: The Art of Computer Programming: Volume 1: Fundamental Algorithms, 3rd EditionThe Art of Computer Programming, Volume 2: Seminumerical Algorithms, 3rd EditionThe Art of Computer Programming: Volume 3: Sorting and Searching, 2nd EditionThe Art of Computer Programming, Volume 4A: Combinatorial Algorithms, Part 1The Art of Computer Programming, Volume 4B: Combinatorial Algorithms, Part 2",2571.0,0,None,English,Hardcover,"23.1,27.4,25.4",cm,9780137935109,https://www.bookdelivery.com/il-en/book-art-of-computer-programming-the-volumes-1-4b-boxed-set-art-of-computer-programming-1-4/9780137935109/p/54511278,0.098,,
Computing And Information Technology,C++ Concurrency in Action,Anthony Williams,Programming languages and extension/scripting: general,173.36,57.6,2019.0,"Summary This bestseller has been updated and revised to cover all the latest changes to C++ 14 and 17! C++ Concurrency in Action, Second Edition teaches you everything you need to write robust and elegant multithreaded applications in C++17. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the Technology You choose C++ when your applications need to run fast. Well-designed concurrency makes them go even faster. C++ 17 delivers strong support for the multithreaded, multiprocessor programming required for fast graphic processing, machine learning, and other performance-sensitive tasks. This exceptional book unpacks the features, patterns, and best practices of production-grade C++ concurrency. About the Book C++ Concurrency in Action, Second Edition is the definitive guide to writing elegant multithreaded applications in C++. Updated for C++ 17, it carefully addresses every aspect of concurrent development, from starting new threads to designing fully functional multithreaded algorithms and data structures. Concurrency master Anthony Williams presents examples and practical tasks in every chapter, including insights that will delight even the most experienced developer. What's inside Full coverage of new C++ 17 featuresStarting and managing threadsSynchronizing concurrent operationsDesigning concurrent codeDebugging multithreaded applications About the Reader Written for intermediate C and C++ developers. No prior experience with concurrency required. About the Author Anthony Williams has been an active member of the BSI C++ Panel since 2001 and is the developer of the just::thread Pro extensions to the C++ 11 thread library. Table of Contents Hello, world of concurrency in C++!Managing threadsSharing data between threadsSynchronizing concurrent operationsThe C++ memory model and operations on atomic typesDesigning lock-based concurrent data structuresDesigning lock-free concurrent data structuresDesigning concurrent codeAdvanced thread managementParallel algorithmsTesting and debugging multithreaded applications",2112.0,0,None,English,Paperback,,,9781617294693,https://www.bookdelivery.com/il-en/book-c-concurrency-in-action/9781617294693/p/48196317,,,
